Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
1605830400.0,2020-11-20,BTCMXN,361209.79,368800,360010,366752.8,44.04,16074981.2
1605744000.0,2020-11-19,BTCMXN,362328.81,368441.24,354300.01,361209.79,182.83,66283651.3
1605657600.0,2020-11-18,BTCMXN,358261.68,375000.99,350510,362328.81,492.15,178042488.27
1605571200.0,2020-11-17,BTCMXN,338693.81,363273.85,335500.01,358261.68,289.05,101975092.33
1605484800.0,2020-11-16,BTCMXN,325564.4,342499.5,323903.3,338693.81,182.84,61569935.2
1605398400.0,2020-11-15,BTCMXN,328739.1,330000,323360.76,325564.4,57.8,18873751.9
1605312000.0,2020-11-14,BTCMXN,333846.09,333846.09,321134.02,328739.1,115.38,37770230.56
1605225600.0,2020-11-13,BTCMXN,335324.85,341120,327001,333846.09,286.77,95703037.1
1605139200.0,2020-11-12,BTCMXN,321642.69,336000,317000,335324.85,288.39,94443413.86
1605052800.0,2020-11-11,BTCMXN,311140.34,327202.04,310821.62,321642.69,196.11,63086545.89
1604966400.0,2020-11-10,BTCMXN,311361.71,314199.99,307534,311140.34,202.0,62858223.98
1604880000.0,2020-11-09,BTCMXN,317710.74,320302.01,301514.76,311361.71,244.62,75782188.09
1604793600.0,2020-11-08,BTCMXN,304086.77,322243.74,301942.89,317710.74,151.61,47552445.8
1604707200.0,2020-11-07,BTCMXN,320506.41,324700,291729.43,304086.77,376.51,116404062.14
1604620800.0,2020-11-06,BTCMXN,323736.73,331088.7,313808.55,320506.41,350.77,113049194.94
1604534400.0,2020-11-05,BTCMXN,297237.2,326644.42,296275,323736.73,490.26,152971306.83
1604448000.0,2020-11-04,BTCMXN,294679.99,301000,290606.97,297237.2,261.98,77651020.69
1604361600.0,2020-11-03,BTCMXN,290580.57,295750,284013.01,294679.99,206.85,60060203.47
1604275200.0,2020-11-02,BTCMXN,293011.34,294929.64,281118.52,290580.57,141.29,40752704.27
1604188800.0,2020-11-01,BTCMXN,293298.47,295000,289267.52,293011.34,95.43,27920073.06
1604102400.0,2020-10-31,BTCMXN,288256.24,298424.93,285251,293298.47,220.83,64373535.78
1604016000.0,2020-10-30,BTCMXN,288196.46,292463.12,281118.52,288256.24,199.43,57301867.94
1603929600.0,2020-10-29,BTCMXN,282480.6,292605.98,277741.47,288196.46,283.9,81058210.63
1603843200.0,2020-10-28,BTCMXN,286994.27,291999.38,273054.96,282480.6,273.5,77079068.83
1603756800.0,2020-10-27,BTCMXN,273994.72,290000,273368.34,286994.27,315.64,89225910.05
1603670400.0,2020-10-26,BTCMXN,272594.07,277908.58,268512.61,273994.72,152.44,41624375.55
1603584000.0,2020-10-25,BTCMXN,273344.08,278000,269000,272594.07,122.43,33340801.33
1603497600.0,2020-10-24,BTCMXN,269580.51,275100,268448.4,273344.08,97.39,26516801.57
1603411200.0,2020-10-23,BTCMXN,272150.74,273282.7,265476.08,269580.51,236.69,63790287.52
1603324800.0,2020-10-22,BTCMXN,271286.04,276654.16,268350.94,272150.74,282.14,77019233.64
1603238400.0,2020-10-21,BTCMXN,251743.83,278949,250921.95,271286.04,545.44,145642517.48
1603152000.0,2020-10-20,BTCMXN,249014.66,253500.15,247799.6,251743.83,219.13,55067806.2
1603065600.0,2020-10-19,BTCMXN,243000,249600,241551,249014.66,221.88,54727376.34
1602979200.0,2020-10-18,BTCMXN,240925.23,243588.22,240420,243000,40.38,9782462.24
1602892800.0,2020-10-17,BTCMXN,240227.47,241773.98,239000.61,240925.23,64.67,15538990.09
1602806400.0,2020-10-16,BTCMXN,245300.81,246927.31,239020.73,240227.47,191.92,46277542.74
1602720000.0,2020-10-15,BTCMXN,244024.32,247578.57,242800.01,245300.81,219.48,53761872.84
1602633600.0,2020-10-14,BTCMXN,244184.65,245500,241156.96,244024.32,213.54,51944683.49
1602547200.0,2020-10-13,BTCMXN,244407.68,245336.97,241233.57,244184.65,184.95,45048047.99
1602460800.0,2020-10-12,BTCMXN,240001,247933.71,238500,244407.68,203.32,49442244.91
1602374400.0,2020-10-11,BTCMXN,238696.15,241478.96,238118.76,240001,58.41,14012527.51
1602288000.0,2020-10-10,BTCMXN,234041.65,242500,233733.45,238696.15,153.19,36711756.85
1602201600.0,2020-10-09,BTCMXN,233978.85,236477.81,231600.07,234041.65,161.0,37704348.97
1602115200.0,2020-10-08,BTCMXN,230222.78,234999.99,226099.99,233978.85,185.55,42994872.08
1602028800.0,2020-10-07,BTCMXN,230338.41,230814.97,227400.01,230222.78,155.32,35623284.82
1601942400.0,2020-10-06,BTCMXN,231687.39,232193.24,227819.25,230338.41,160.51,36951954.43
1601856000.0,2020-10-05,BTCMXN,231033.8,232091.77,228900,231687.39,194.08,44708856.92
1601769600.0,2020-10-04,BTCMXN,228685.21,232000,228300,231033.8,49.88,11477195.89
1601683200.0,2020-10-03,BTCMXN,229473.67,230000,227764.15,228685.21,94.11,21544455.43
1601596800.0,2020-10-02,BTCMXN,233055.72,234411.87,226700,229473.67,244.38,56186929.25
1601510400.0,2020-10-01,BTCMXN,237950.32,240056,229060.23,233055.72,300.49,70429926.47
1601424000.0,2020-09-30,BTCMXN,242500,242591.65,236400,237950.32,198.91,47506168.83
1601337600.0,2020-09-29,BTCMXN,239973.34,243173.5,238041.86,242500,174.98,42110804.26
1601251200.0,2020-09-28,BTCMXN,240700,246506.07,239116.6,239973.34,208.94,50871013.43
1601164800.0,2020-09-27,BTCMXN,240001.34,241759.33,237601,240700,78.67,18868721.65
1601078400.0,2020-09-26,BTCMXN,239422.1,242023.5,238600,240001.34,85.58,20550024.63
1600992000.0,2020-09-25,BTCMXN,237442.22,241540.28,234154.68,239422.1,203.97,48652193.82
1600905600.0,2020-09-24,BTCMXN,229828.06,238664,229000,237442.22,244.02,57375833.42
1600819200.0,2020-09-23,BTCMXN,228659.01,233560.71,227019.76,229828.06,158.48,36536612.95
1600732800.0,2020-09-22,BTCMXN,223200,229536.93,222271.57,228659.01,172.94,39166940.48
1600646400.0,2020-09-21,BTCMXN,231397.54,232700,223000,223200,209.24,47259914.12
1600560000.0,2020-09-20,BTCMXN,235134.48,235134.48,228820.78,231397.54,56.92,13158502.27
1600473600.0,2020-09-19,BTCMXN,231182.35,236034.18,230500,235134.48,104.49,24399054.74
1600387200.0,2020-09-18,BTCMXN,229308.56,232000,227500,231182.35,179.31,41179144.62
1600300800.0,2020-09-17,BTCMXN,230121.73,232992.95,226300,229308.56,178.48,40826489.24
1600214400.0,2020-09-16,BTCMXN,228427.01,234101.45,226550.99,230121.73,179.96,41390488.31
1600128000.0,2020-09-15,BTCMXN,225935.95,230130.35,224421.13,228427.01,231.09,52697395.66
1600041600.0,2020-09-14,BTCMXN,220039.23,227249.99,218800,225935.95,192.31,43127296.54
1599955200.0,2020-09-13,BTCMXN,222191.12,224999.99,218010.01,220039.23,75.47,16685997.8
1599868800.0,2020-09-12,BTCMXN,221732.67,223451.83,219000,222191.12,86.28,19086794.53
1599782400.0,2020-09-11,BTCMXN,222469.96,222829.28,218428,221732.67,167.48,36852574.98
1599696000.0,2020-09-10,BTCMXN,219241.27,223821.74,218682.09,222469.96,223.41,49497430.98
1599609600.0,2020-09-09,BTCMXN,221999.96,223630,218500,219241.27,214.83,47428680.27
1599523200.0,2020-09-08,BTCMXN,224597.3,226250.01,215400.49,221999.96,292.47,64319077.37
1599436800.0,2020-09-07,BTCMXN,222514.06,225650.97,214749.99,224597.3,229.47,50545034.59
1599350400.0,2020-09-06,BTCMXN,221348.64,226776.99,217451.27,222514.06,127.86,28496074.94
1599264000.0,2020-09-05,BTCMXN,227251.64,229724.06,215000.88,221348.64,251.58,55623422.9
1599177600.0,2020-09-04,BTCMXN,222263.22,231500,218310.87,227251.64,363.68,82153056.4
1599091200.0,2020-09-03,BTCMXN,248753.2,250318.01,218105.55,222263.22,557.96,130964643.49
1599004800.0,2020-09-02,BTCMXN,259695.37,260382.48,245001.9,248753.2,325.06,81284923.23
1598918400.0,2020-09-01,BTCMXN,255350,262500,252651,259695.37,286.62,74215492.26
1598832000.0,2020-08-31,BTCMXN,255251.51,257285.78,252704.87,255350,118.27,30249808.95
1598745600.0,2020-08-30,BTCMXN,250231.79,255263.57,249959,255251.51,79.23,20069743.96
1598659200.0,2020-08-29,BTCMXN,251350,251900,249000,250231.79,113.55,28446519.8
1598572800.0,2020-08-28,BTCMXN,251276.45,252530.81,249200,251350,187.15,46932115.19
1598486400.0,2020-08-27,BTCMXN,251900,253200,246408.35,251276.45,180.55,45143158.3
1598400000.0,2020-08-26,BTCMXN,248359,253994.64,246567.06,251900,130.33,32701033.15
1598313600.0,2020-08-25,BTCMXN,259401,259738.95,244600.03,248359,219.32,55103097.53
1598227200.0,2020-08-24,BTCMXN,255704.98,259803.53,254747.78,259401,95.23,24608788.13
1598140800.0,2020-08-23,BTCMXN,256600,258000,254009.78,255704.98,53.45,13683347.95
1598054400.0,2020-08-22,BTCMXN,253200,257368.93,250200,256600,120.19,30500192.94
1597968000.0,2020-08-21,BTCMXN,262633.69,262800,252339.33,253200,204.05,52559413.19
1597881600.0,2020-08-20,BTCMXN,260831.44,263999.99,259500,262633.69,131.09,34390565.43
1597795200.0,2020-08-19,BTCMXN,265000,266954.31,257380.01,260831.44,203.63,53186561.1
1597708800.0,2020-08-18,BTCMXN,272114.3,274664.58,261724.47,265000,253.73,67974571.56
1597622400.0,2020-08-17,BTCMXN,261763,274943.85,258300,272114.3,268.17,72311788.57
1597536000.0,2020-08-16,BTCMXN,260490.31,262500,257500,261763,59.32,15460730.31
1597449600.0,2020-08-15,BTCMXN,258888.38,263501,257153.91,260490.31,118.91,31065492.14
1597363200.0,2020-08-14,BTCMXN,261700,262500,256949.37,258888.38,140.06,36356810.84
1597276800.0,2020-08-13,BTCMXN,258282.14,261701.01,252738.16,261700,202.98,52400430.85
1597190400.0,2020-08-12,BTCMXN,255927,260000,250800.02,258282.14,165.61,42494134.12
